Gene	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20
ANP32A	92.482185	69.57344	82.84288	53.697544	84.20583	88.45084	67.64265	90.442505	87.38141	68.87135	85.77404	91.847145	102.1635	103.57198	86.28209	101.70685	73.576096	96.18048	101.32602	84.89575
ANP32B	115.722916	93.34627	91.34611	73.67114	98.54115	131.92819	76.50434	111.333664	111.75491	88.701065	99.79376	111.90391	102.82598	133.23271	123.569115	151.85881	115.21845	126.16004	120.45784	112.345245
ANP32E	18.834948	10.302888	11.938532	9.540299	14.071932	15.20091	11.667809	14.666125	15.20982	8.688556	10.344807	16.327791	15.796652	17.647644	14.0540905	21.298101	11.406274	15.200859	15.277539	11.420922
ANPEP	31.36334	41.259785	93.511314	94.66347	16.749723	112.34149	41.85701	132.97835	58.403343	32.03721	43.803272	43.976433	81.72951	34.938118	12.553448	27.178596	116.31691	29.396753	98.6918	52.173264
ANTXR1	10.879279	13.266775	11.866559	8.172145	14.878438	10.383392	17.033697	7.691354	4.377053	2.5570328	3.3861442	5.8049903	4.67804	3.4681022	8.617191	4.0912156	5.1426954	6.4664264	3.8952699	4.363843
ANTXR2	35.5703	37.989758	36.352684	34.63952	45.974815	38.002766	36.75256	64.35449	53.954758	32.253204	43.62035	45.23161	36.832844	36.94675	45.61488	34.677677	45.49005	42.762787	42.774094	41.682175
ANXA11	137.97887	118.27627	135.26083	122.597244	107.36868	145.38916	105.49493	125.62124	137.71913	141.9759	111.91145	107.88719	136.90869	159.48912	144.4873	142.71794	155.285	127.05437	172.9548	139.33511
ANXA13	18.885315	11.000942	20.290464	15.061506	12.548084	30.066702	15.001274	34.598064	21.396544	13.435095	19.788607	32.942383	17.783052	18.47051	26.351843	21.194803	11.390118	15.938347	17.530647	22.23259
ANXA1	26.089186	37.243763	24.350626	24.366203	32.262238	29.92209	26.769617	23.198341	14.386319	8.081933	15.796717	22.105295	16.644855	18.721504	19.434109	18.052141	17.216284	21.116455	17.617123	26.140965
ANXA2R	0.46974903	0.5443851	1.492439	1.0369605	1.5230328	1.2991798	0.681551	0.6515734	0.23373702	0.36159748	0.779822	1.433122	0.71272	0.6529265	0.7509303	0.703458	0.6332332	0.5474118	0.6273166	0.96737
ANXA2	432.80835	484.1376	371.73895	349.82208	417.00928	660.0346	412.33786	492.63098	522.0664	460.7515	470.26987	488.6983	524.5387	741.33966	511.86566	588.4349	526.5366	499.2921	947.34424	433.0018
ANXA3	21.773758	20.675983	21.62682	10.234205	23.79769	22.23658	20.416277	26.012733	34.861088	20.257872	22.342283	26.963545	28.699387	31.16393	23.699291	29.57416	28.068687	27.181444	44.009876	27.654814
ANXA4	99.59685	102.55574	109.0255	106.14771	101.98425	156.34486	84.772156	196.53317	152.05081	120.9266	131.60753	136.80489	145.65239	192.40758	124.15655	197.37727	165.89455	136.12723	211.82777	127.13872
ANXA5	98.26886	107.66918	76.77606	53.953297	89.4238	79.66856	104.444145	66.0274	60.515823	35.68955	53.069664	63.180634	47.273575	73.86996	94.794846	107.80674	64.81849	62.10912	59.944847	71.227066
ANXA6	29.022211	25.941444	35.249077	21.311628	54.364307	26.891321	40.08474	21.419157	12.454679	9.357167	10.791293	36.79633	18.207922	19.40105	20.230171	23.846947	25.175047	23.452232	16.31616	17.03244
ANXA7	72.343414	60.020798	51.360138	44.429966	64.08526	57.218998	52.976307	59.60438	64.01612	49.93494	58.214016	67.53946	71.56025	89.29809	80.26278	87.23528	60.202927	74.00082	77.02533	55.979237
ANXA9	3.51845	1.65469	3.1772	2.60828	3.2152	3.5652602	3.1099503	4.2969203	5.08434	4.43557	3.1132097	3.5071402	3.0795803	4.56054	3.82684	2.39306	2.9693398	3.93225	3.48374	4.7897897
